  -6.3743563e+00  -5.8161595e+00   5.3928416e+00
  -5.9729361e+00  -3.3544159e+00   5.7140009e+00
  -6.3273440e+00   2.5361268e-01   6.0423073e+00
  -6.2026979e+00   3.2253063e+00   3.5851837e+00
  -5.5716476e+00   6.2550073e+00   3.5366745e+00
  -3.2593322e+00  -6.2210338e+00   1.1099951e+00
  -3.3342554e+00  -3.2079912e+00   3.2275407e+00
  -2.9119141e+00   2.7011398e-01   3.4461507e+00
  -3.1409884e+00   2.8726883e+00   1.0384688e+00
  -3.0735682e+00   5.9793273e+00   3.1032215e+00
   3.3593019e-01  -5.8959139e+00   3.3622410e+00
   3.8357039e-01  -2.6303034e+00   1.2491422e+00
   2.2462729e-01  -4.4907716e-02   3.9154858e+00
  -3.8687112e-02   3.0453563e+00   1.6534449e-01
   1.8728069e-01   5.9796713e+00   2.0030227e+00
   2.7584719e+00  -5.6641086e+00   3.3489348e+00
   3.1616619e+00  -2.7274551e+00   2.0531799e+00
   3.2195819e+00  -4.2138142e-01   3.7836741e+00
   3.1454139e+00   2.5874783e+00   2.2740904e+00
   2.8907009e+00   5.6522833e+00   8.4773136e-01
   5.9087919e+00  -5.8394413e+00   5.7416596e+00
   5.7158719e+00  -3.3920863e+00   4.0247499e+00
   6.3397529e+00   3.9171978e-01   4.1392000e+00
   6.0370579e+00   3.1184183e+00   4.2432256e+00
   5.8990139e+00   5.5842153e+00   4.6781941e+00
